,Name,Manufacturer,Functions,HP,Depth,+12V (mA),-12V (mA),+5V (mA),Price (€),Racks,Rating,Votes,Available,Approved
0,Maths,Make Noise,"['Attenuator', 'CV Modulation', 'Envelope Follower', 'Envelope Generator', 'Function Generator', 'LFO', 'Logic', 'Slew Limiter']",20,24.0,60.0,50.0,0.0,268.0,122415,4.6,963.0,,1
1,Plaits,Mutable instruments,"['Noise', 'Oscillator', 'Synth Voice', 'Drum', 'Digital']",12,25.0,50.0,5.0,0.0,250.0,62576,4.57,354.0,Discontinued,0
2,Pamela's NEW Workout,ALM Busy Circuits,"['Clock Generator', 'Digital', 'LFO', 'Clock Modulator', 'Random', 'Sequencer', 'Envelope Generator', 'Quantizer']",8,22.0,50.0,1.0,0.0,279.0,55760,4.76,382.0,Discontinued,0
3,Disting mk4,Expert Sleepers,"['Effect', 'Quantizer', 'Utility', 'LFO', 'Oscillator', 'Delay', 'Waveshaper', 'Sampling']",4,42.0,51.0,19.0,0.0,189.0,50411,4.61,278.0,Available,0
4,Morphagene,Make Noise,"['Sampling', 'Delay', 'Digital', 'Dual/Stereo', 'Envelope Follower', 'Looper']",20,30.0,165.0,20.0,0.0,569.0,49191,4.63,218.0,Available,1
5,uZeus,Tiptop Audio,['Power'],4,34.0,,,,80.0,44483,4.51,238.0,Available,1
6,Rings,Mutable instruments,"['External', 'Oscillator', 'Filter']",14,25.0,120.0,5.0,0.0,299.0,42303,4.67,309.0,Discontinued,1
7,Quad VCA,Intellijel,"['Mixer', 'VCA', 'Quad']",12,29.0,65.0,65.0,0.0,189.0,41750,4.63,206.0,Available,1
8,Mimeophon,Make Noise,"['Delay', 'Effect', 'Dual/Stereo', 'Digital', 'Looper', 'Reverb']",16,30.0,100.0,10.0,0.0,399.0,39066,4.52,167.0,Available,1
9,Basimilus Iteritas Alter,Noise Engineering,"['Drum', 'Oscillator', 'Digital']",10,28.0,80.0,5.0,90.0,359.0,37891,4.65,256.0,Discontinued,1
10,Clouds,Mutable instruments,"['Effect', 'Delay', 'Digital', 'Pitch Shifter ', 'Sampling']",18,25.0,120.0,10.0,0.0,299.0,37019,4.44,334.0,Discontinued,1
11,Beads,Mutable instruments,"['Delay', 'Digital', 'Dual/Stereo', 'Effect', 'Random', 'Reverb']",14,25.0,100.0,10.0,,299.0,35367,4.66,157.0,Discontinued,1
12,ochd,DivKid,"['CV Modulation', 'LFO']",4,32.0,80.0,80.0,0.0,165.0,35235,4.75,163.0,Available,1
13,Batumi,Xaoc Devices,"['Clock Generator', 'LFO', 'Quad', 'Random']",10,45.0,45.0,15.0,0.0,280.0,33994,4.86,274.0,Available,1
14,Buff Mult,Intellijel,"['Multiple', 'Dual/Stereo', 'TrueGrid']",2,39.0,4.0,17.0,0.0,80.0,30785,4.5,113.0,Available,1
15,Marbles,Mutable instruments,"['Sequencer', 'Clock Generator', 'Clock Modulator', 'Quantizer', 'Random', 'Digital']",18,25.0,80.0,20.0,0.0,299.0,27777,4.69,217.0,Discontinued,0
16,Richter Wogglebug 2014,Make Noise,"['Random', 'Clock Generator', 'Oscillator', 'Ring Modulator', 'Sample and Hold', 'Slew Limiter']",10,24.0,50.0,40.0,0.0,224.0,27257,4.41,167.0,,1
17,Zadar,Xaoc Devices,"['CV Modulation', 'Digital', 'Envelope Generator', 'Function Generator', 'LFO', 'Quad']",10,,90.0,40.0,,310.0,26053,4.54,139.0,Available,1
18,Pressure Points,Make Noise,"['Controller', 'Sequencer']",20,24.0,20.0,0.0,0.0,195.0,26002,4.41,176.0,,1
19,A-124 SE,Doepfer,['Filter'],8,45.0,30.0,10.0,0.0,85.0,24934,4.49,166.0,Available,0
20,QPAS,Make Noise,"['Filter', 'VCA', 'Dual/Stereo', 'Quad']",18,30.0,166.0,190.0,0.0,341.0,24888,4.49,112.0,Available,1
21,Pamela's PRO Workout,ALM Busy Circuits,"['Clock Generator', 'Clock Modulator', 'Function Generator', 'LFO', 'Sequencer', 'Digital', 'Quantizer', 'Random']",8,32.0,60.0,10.0,0.0,318.0,24504,4.89,94.0,Available,0
22,STO,Make Noise,['Oscillator'],8,30.0,40.0,30.0,0.0,179.0,24504,4.31,162.0,,1
23,Pico DSP,Erica Synths,"['Delay', 'Distortion', 'Effect', 'Panning', 'Reverb']",3,35.0,82.0,20.0,,120.0,24289,4.26,94.0,Available,1
24,Erbe-Verb,Make Noise,"['Digital', 'Effect', 'Reverb']",20,30.0,149.0,15.0,0.0,452.0,24108,4.45,187.0,Available,1
25,Stages,Mutable instruments,"['CV Modulation', 'Envelope Generator', 'LFO', 'Sample and Hold', 'Sequencer', 'Slew Limiter']",14,25.0,80.0,20.0,0.0,299.0,23605,4.58,160.0,Discontinued,0
26,RackBrute 6UPower,Arturia,['Power'],5,80.0,,,,300.0,23184,4.47,49.0,Available,0
27,Ears,Mutable instruments,"['Controller', 'Envelope Follower', 'External', 'PreAmp']",4,25.0,5.0,5.0,0.0,99.0,22671,4.59,123.0,Discontinued,0
28,DPO,Make Noise,"['Dual/Stereo', 'Oscillator', 'Waveshaper', 'LFO']",28,30.0,70.0,70.0,0.0,556.0,21843,4.47,245.0,,1
29,Links,Mutable instruments,"['Multiple', 'Mixer']",4,20.0,15.0,15.0,0.0,69.0,21128,4.5,151.0,Discontinued,1
30,Mix,2hp,"['Attenuator', 'Mixer']",2,42.0,41.0,41.0,0.0,88.0,20992,3.9,59.0,Available,1
31,A-140,Doepfer,"['Envelope Generator', 'TrueGrid']",8,50.0,20.0,20.0,0.0,74.0,20855,4.13,111.0,Available,0
32,Moog Mother-32,Moog Music Inc.,"['Synth Voice', 'Clock Generator', 'MIDI', 'Sequencer']",60,26.0,230.0,0.0,0.0,540.0,20788,4.59,252.0,Available,0
33,Dixie II+,Intellijel,"['LFO', 'Oscillator']",8,40.0,70.0,60.0,0.0,225.0,20296,4.62,117.0,Available,1
34,FX AID,Happy Nerding,"['Delay', 'Digital', 'Distortion', 'Effect', 'Pitch Shifter ', 'Reverb']",4,40.0,80.0,30.0,,199.0,19686,4.64,81.0,Available,0
35,disting EX,Expert Sleepers,"['Effect', 'MIDI', 'Sampling', 'Utility', 'Drum', 'Function Generator', 'Quantizer', 'Synth Voice']",8,50.0,229.0,50.0,0.0,398.0,19571,4.43,88.0,Available,0
36,Pico DRUMS,Erica Synths,"['Drum', 'Sampling']",3,35.0,35.0,4.0,0.0,120.0,18893,4.25,81.0,,1
37,Plonk,Intellijel,"['Digital', 'Oscillator', 'Noise', 'Drum']",12,38.0,170.0,6.0,0.0,314.0,18872,4.43,99.0,Available,1
38,Mixup,Intellijel,"['Mixer', 'Multiple', 'Utility', 'Dual/Stereo']",6,29.0,15.0,16.0,0.0,99.0,18866,4.61,67.0,Available,0
39,A-180-2 Multiples,Doepfer,"['Multiple', 'Utility', 'Dual/Stereo']",2,18.0,,,,35.0,18619,4.2,60.0,Available,0
40,Optomix,Make Noise,"['Filter', 'Mixer', 'VCA', 'Low Pass Gate', 'Dual/Stereo']",8,24.0,25.0,25.0,0.0,195.0,18411,4.27,191.0,,1
41,Magneto,Strymon,"['Delay', 'Dual/Stereo', 'Effect', 'Reverb', 'Sampling', 'Looper']",28,41.0,210.0,210.0,0.0,649.0,18045,4.68,92.0,Available,0
42,Data Bender,Qu-Bit Electronix,"['Digital', 'Distortion', 'Sampling', 'Dual/Stereo', 'Effect']",14,28.0,58.0,60.0,0.0,359.0,17739,4.58,73.0,Available,1
43,Quadrax,Intellijel,"['Envelope Generator', 'Function Generator', 'Quad', 'LFO', 'Clock Generator', 'CV Modulation']",14,38.0,106.0,9.0,,332.0,17511,4.64,81.0,Available,1
44,Peaks,Mutable instruments,"['Drum', 'Envelope Generator', 'LFO', 'Delay', 'Sequencer', 'Dual/Stereo']",8,20.0,60.0,2.0,0.0,179.0,16916,4.48,213.0,Discontinued,1
45,Ripples,Mutable instruments,"['Filter', 'VCA', 'Oscillator']",8,20.0,35.0,35.0,0.0,175.0,16887,4.47,149.0,Discontinued,1
46,Optomix rev2 2016,Make Noise,"['Dual/Stereo', 'Filter', 'Low Pass Gate', 'Mixer', 'VCA', 'Envelope Generator']",8,24.0,25.0,25.0,0.0,199.0,16791,4.39,93.0,Available,0
47,Rene,Make Noise,"['Sequencer', 'Logic']",34,24.0,80.0,0.0,0.0,560.0,16741,4.36,217.0,Discontinued,1
48,Voltage Block,Malekko Heavy Industry,"['CV Modulation', 'Quantizer', 'Sequencer', 'Digital']",20,20.0,120.0,15.0,0.0,418.0,16409,4.48,110.0,Discontinued,0
49,Veils (2020),Mutable instruments,"['Mixer', 'Quad', 'Utility', 'VCA']",10,10.0,50.0,50.0,0.0,179.0,16278,4.68,73.0,Discontinued,1
50,VCA,2hp,"['Dual/Stereo', 'VCA', 'Attenuator']",2,42.0,21.0,26.0,0.0,89.0,16273,3.93,41.0,Available,1
51,THREE SISTERS,Mannequins,"['Filter', 'Mixer', 'Dual/Stereo', 'Equalizer', 'Oscillator']",10,30.0,100.0,93.0,0.0,298.0,16189,4.73,154.0,,1
52,Mult,2hp,['Multiple'],2,15.0,,,,31.0,16065,3.74,29.0,Available,1
53,FX AID XL,Happy Nerding,"['Delay', 'Digital', 'Distortion', 'Effect', 'Pitch Shifter ', 'Reverb', 'Dual/Stereo']",6,45.0,80.0,30.0,,239.0,15960,4.61,78.0,Available,0
54,Tempi,Make Noise,"['Clock Generator', 'Clock Modulator', 'Controller', 'Dual/Stereo']",10,24.0,46.0,0.0,0.0,242.0,15826,4.19,96.0,Available,1
55,A-151,Doepfer,"['Switch', 'Quad']",4,35.0,20.0,10.0,0.0,60.0,15461,4.62,111.0,Available,0
56,μVCA II,Intellijel,"['Attenuator', 'Dual/Stereo', 'VCA', 'Mixer']",6,35.0,36.0,35.0,0.0,169.0,15425,4.44,154.0,Available,0
57,DFAM - Drummer From Another Mother,Moog Music Inc.,"['Clock Generator', 'Drum', 'Noise', 'Oscillator', 'Sequencer', 'Synth Voice']",60,26.0,230.0,0.0,0.0,565.0,15296,4.65,124.0,Available,0
58,Turing Machine Mk II,Music Thing Modular,"['Noise', 'Random', 'Sequencer']",10,38.0,40.0,0.0,0.0,91.0,15154,4.65,114.0,Available,0
59,Echophon,Make Noise,"['Delay', 'Pitch Shifter ', 'Effect']",20,30.0,70.0,40.0,0.0,368.0,15130,4.06,154.0,,1
60,Quadra,Intellijel,"['Envelope Generator', 'LFO', 'Quad', 'Function Generator']",12,38.0,98.0,53.0,0.0,275.0,14836,4.5,131.0,Available,1
61,Desmodus Versio,Noise Engineering,"['Digital', 'Reverb', 'Effect', 'Dual/Stereo']",10,28.0,70.0,70.0,0.0,354.0,14801,4.81,107.0,Available,1
62,CP1-A,Behringer,['Power'],4,39.0,,,,65.0,14608,3.9,51.0,Available,0
63,Veils,Mutable instruments,"['VCA', 'Mixer', 'Utility', 'Quad']",12,10.0,50.0,50.0,0.0,179.0,14538,4.54,110.0,Discontinued,1
64,Function,Make Noise,"['Envelope Generator', 'LFO', 'Sample and Hold', 'Slew Limiter', 'Envelope Follower', 'Function Generator']",8,24.0,30.0,20.0,0.0,144.0,14475,4.59,136.0,,1
65,Metropolis,Intellijel,"['Sequencer', 'Clock Modulator', 'Random', 'Clock Generator']",34,45.0,195.0,8.0,0.0,599.0,14475,4.66,152.0,Discontinued,0
